content,sentiment
"Gamee anj bikin naik darah musuh nya jago teman nya pokee, kalo udah win truss losee sama musuh yg jago jago , game nya dajjal nonton kebanyakan nonton bokep",negatif
mantap,positif
Game burik...game gak adil... Leletnya minta ampun...drk syistem babi,negatif
Cmn minus spin2 an aj,positif
Good,positif
Good,positif
Capek gua Moonton . Gua udah push rank. Tetap aja kalah. Tolong lah Moonton kasih lah kami Menang. atau win streak. Capek kami player main. Lebih baik hapus aja Mobil Legends bang bang. Kalah terus.,negatif
Ok,positif
Ok,positif
Banyak dark sistem,negatif
Geams yang bagus dan tolong hapus semua dark sistem,positif
Mantap,positif
Ini game ga cocok untuk anak buat semua umur,negatif
Dk ngotak lose streak game sampah.. Kbnyakan eror nya di game solo dari sistem truss temen nya tolol moonton,negatif
Sekarang besar amat ya... Memakan 3Giga ukurannya... Bye Mobile legends,negatif
game ppq rank klah mc klah glrn pke kmnder a mlh smua a glirsn b smua b dsar tlol,negatif
"Sinyal bagis tapi pas buka ml jadi jelek, aneh",negatif
Moonton kalo kasih tim itu yang bener moonton,positif
bagus,positif
Oke,positif
Ini game gak adill!!. Masa aku main terus tapi tim ku selalu dari system sedang kan musuh op-op,negatif
Perbanyak lagi darksistem nya moonton Masi kurang itu tambah yang banyak dark sistem nya babi,negatif
Sangat menyenangkan💕😍,positif
Bikin stressss,negatif
game baguss,positif
"Apaan nih kok diupdate malah makin nggak bagus sih. Btw gara² ni game hp w jdi error keluar bunyi nging panjang kek mau meledak gitu oy, parahh",negatif
Good,positif
gacorrr,positif
Game ini sangat seru banget untuk di main kan,positif
Mantap,positif
Tolong lah jaringan nya di perbaiki,negatif
we monton kurangi lah drak system nya,negatif
Gamenya sangat bagus 👍👍dan banyak event² yang sangat menarik,positif
Game burikk,negatif
Game lu engga jelas dapat tim komputer kalo engga bisa bikin game engga bikin nonton ajing mau marah hhh game apan su,negatif
Cape main game ini gk pernah di kasih tim yg seimbang selalu musuh yg kuat dan di tim gua yg lemah dan di tim gua juga banyak draksisytem baru awal reset season langsung gua phus sampe legend di kasih turun lagi sampe epik 3 gua GK suka sama game yg ngak adil jadi gua hapus aja karena gua GK terima klo gua di gituin terus SORRY UNTUK MOONTON KALO GUA DAH KAYAK GINI AMA LO.,negatif
Saya sangat senang main game ini saya sudah lost streak 3 dan saya mpv 3 kali itu sangat seru tolong beri susah lagi agar makin terhibur,positif
Game tolol masa timnya gak seimbang lane bertabrakan lose streak 3x sampai rank ku turun epic lama lama ku hapus juga ni game bikin stres orang aja,negatif
"Game nya udah bagus, tapi sering masalah jaringan dan ngefrem, jika mempersalahkan hp kentang dan tidak kentang itu beda karena login ml butuh 5 menit baru login sedangkan game lain enggak sampe 1 menit udah login,dan masalah keterakhir tentang bagi bagi skin nya kasian orang yang udah ngabisin duit untuk skin skin mahal contoh,ligbrond,valitame,dragontamer,natalia collector,dll.",negatif
Banyak dark sistem,positif
Moonton kalau mau kasih team yang seimbang blog,negatif
bolelah,positif
Nice,positif
Tolong mactmeking nya di perbaiki saya kalah Mulu dari tadi sampai ke epic tolong di perbaiki mooton,negatif
Game nya seru tapi sayang saya sudah lama main pakai mode offline saya harap mode offline bisa dimainkan lagi terimakasih,negatif
GAME BAGUS 👍,positif
Sangat bagus Dan memuaskan,positif
Mon bagi aku win yh ☺️☺️☺️☺️☺️☺️☺️☺️,positif
Nice,positif
Bagusssss Gk bikin bosan,positif
Gem yg sangat keren,positif
Gamenya bagus dan bisa dimainin banyak orang daripada FF nggak bisa 5 orang mobile legends biar itu orang Sendirian kesendirian adalah teman terbaikku apakah mau berteman sama Nana pintu melese dunia untuk padaku grafiknya bagus ML daripada FF yang ada di Indonesia minimal game itu banyak heronya lah daripada FF daripada FF ganti-ganti baju terus minimal ML lah bisa ganti-ganti skin gorengan nelpon bagus ada notif lokasinya 1234 bagus daripada yang sebelah nggak bisa apa-apa kepada siapakah kit,positif
Papi moonton plisssss keluarin lagi scarlet phantom papi moonton plissss...kalo gadi keluarin lagi gua pensi aja dan semua org juga..scarlet phantom terlalu op dibanding kan skay piscer. Makan ny gua kasih bintang dua..plisss ya papi moonton.,negatif
tim sama lawan nya g jls tim nya anak haram semua musuh nya selalu jago tapi tim nya main kaya pler match making nya g jls kaya game nya,negatif
"Game mobile legendsnya bagus banget. aku suka banget dengan gamenya,karena aku cinta mobile legends.ada Hero,permainan,dan lain-lain. Kalau aku Ranknya epik.kalau kalian pasti ga bisa main mobile legends,karena kalian belum download game mobile legends. hahahahahah kasihan deh😆😆😆😆😆😆😆 Kalian pasti bisa.maafin aku ya semua,karna aku sudah mengejek kalian",positif
"Game nya saat bagus tapi, padahal aku baru masuk tiba tiba ada tulisan ini, kamu tidak bisa memasukkan ke mobil legend karena ada masalah bernama @FISAN_KING? SIAPA ITU YA NAMA NYA?, kok bisa ada nama dari mobil legend?",negatif
"Tolong lah saya selalu ketemu dark sistem mulu kadang saya cape juga, tolong banget diperbaiki y,dan tolong jika saya spin itu tolong banget kasih skin itu sesuai hero yg kita punya jangan malah yg laen kan jadinya ga kepake😞,saya kasih b4 dulu,saya masih kecewa sedikit.",positif
Recomended,positif
𝘎𝘦𝘮 𝘺𝘢𝘯𝘨 𝘴𝘢𝘯𝘨𝘢𝘵 𝘣𝘢𝘨𝘶𝘴,positif
gua di global mau add gk bisa emg montod blog,negatif
Game butut anjing mending ff game had game goblog los anj Bagong game goblog,negatif
saya tidak bisa mendownload apk ini,negatif
bagus buat kalo gabut tapi ada 3 bug 1.game nya macet terus gk bisa gerak padahal jaringan bagus 2.suka ada teman satu team rebutan lane 3.game nya gampang ngelag padahal jaringan bagus tolong di perbaiki oleh pihak mobile legend,positif
Sistem jaringan tolong di benerin lagi. Massa di HP bagus pas main merah pingnya bagian pas udah keluar in game hijau,negatif
Good,positif
Nice,positif
Monton di ml ini banyak yang wibu termaksud saya tolong monton agar wibu senang dan bisa jadi wibu tertarik ke game ml ini tolong coleb dengan salah satu loli yang bernama kanna itu carakter yang di sukai para laki laki sedang kan perempuan suka dengan carakter yang bernama gojo saturo tolong ya monton kami para wibu juga ingin salah satu carater anime yang ada di anime tolong ya monton coleb ya agar banyak yang tertarik untuk mencoba ml juga <3,positif
Kasih skin yang banyak lagi dong moonton,positif
Kasih skin lagih lah,negatif
Geam nya asik tapi banyak. Drak sistem nya cuyyyyyy😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨,positif
Permainan burik gajelas lebih bagus king of honor,negatif
ngga kek game sebelah jdi kasih 4,positif
Sangat bagus,positif
Game bikin pusing,positif
Bagus banget gem ya,positif
sangatt baik,positif
Koke,positif
Game nya sih okey lah bagus banget aku suka banget sama game nya👌👍☺️,positif
Gamenya GK seru suka ngasih tim dark system bagusan pindah ke game sebelah,negatif
Game aneh Selalu di kasih team yang kaga bisa main,negatif
Drak sistem anjggg,negatif
Good job,positif
Bagus,positif
Game stres,positif
"Ayolah pak moonton jngn bkin player mls main, ga setara tim Ama musuh nya, masa tim epic abadi musuhnya mantan glory",negatif
"Yg terhormat sistem montoon saya hanya ingin bermain ingin santai dan selalu kalah kenapa, setiap di tim saya tim nya kurang berkontribusi main nya Saya ingin memberi tahu melalui ranting ini, Jadi jika ad pemain yg melihat postingan saya saya harap anda hati"" dengan game ini,terima kasih..",negatif
Game burik system match ga jlas,positif
"Menyambung ulangnya lama, pleaseee kalau bisa di percepat aja",positif
Bagus banget aku dukung ML oke semoga aku dapat skin yang banyak Semoga GK susah musuh nya aminnn,positif
Oke,positif
Game aneh ini mending main HOK aj enak daripada ini dikasih tim GK bisa main semua emang aneh ini game dah gw mau pindah game ke HOK,negatif
"Saya menyukai permainan ini, fitur juga oke :), Hero nya juga menarik perhatian, pokoknya oke bgt dh permainan ini 👍🏻🤩",positif
"Seru banget main gem ini,terus bisa main offline pula,bikin pemain nyaman",positif
Mantap,positif
Mantaap Bisa mengisi waktu luang Buat game ini ...,positif
Kenapa sih sekarang jaringan susah x untuk main mobile legends Ada apa ini,positif
"game gk jls,isiny cuma penipu,game isi ny dajjal",negatif
"Agak males lama² main ml, gegara matchmaking nyq kadang ga sama, kadang lawan pro terus tim nya nga jelas, sama tiba² suka ngelag ngelag sendiri padahal nga ada gangguan sinyal apa apa, di bener in ya, 3 bintang dulu",negatif
Pembagian tim nya ini gk pernah adil ya? lagian kasi hukuman la orng yg bilang roam tapi pake retri anyink,negatif
👍❤💪,positif
Main dapat tim gak adil terus,positif
Notbet lah ni game buat orang gila 👍,positif
Nice,positif
Hilang kan dark sistem,positif
Good game,positif
Game yg koplak,negatif
aku minta skin baru skin barunya cowok memakai buku sihir plss,positif
Mantap muntun kasi saya ws,positif
Game bagus tapi tolong Kalau solo jangan ketemuin yang Mabar ya boss,negatif
Game yang seru bangakin event skin gratisnya lagi,positif
Mantap bisa ketemu teman manca negara,positif
Gem na banak drak sistem,negatif
"WOII MOONTON KASIH TEAM YANG BAGUS LAH,MASA GW DAPET TEAM DRAKSISTEM MULU TOLONG LAH MOONTON SAYA TUH TUJUANYA PEN KE IMO ,SEKALI LAGI KASIH SAYA TEAM BAGUS TERIMAKASIH!",negatif
myan bgus,positif
ketemu team dark sistem mulu bikin stress dh gw main game ini🤯🤯🤯,negatif
Game yang nemenin dari dulu,positif
keren,positif
Bagus,positif
Untuk monton Ndak ikhlas aku Cok oleh konco koyok taek Kabeh koyok taek Kon cok monton asu Ndak ikhlas Bintang ku ilang delok en kon,negatif
Good,positif
"sinyal ngebug lol, minimal kl update, bug sinyalnya diperbaiki lah",negatif
Game nya bagus aku sangat suka memainkan nya tetapi download data nya sedikit mengganggu,positif
Lima bintang bagus,positif
Makin seru,positif
Bagus enak bisa main offline,positif
Mantap,positif
good,positif
Ban player GB MMR #BAN,positif
Semoga game nya makin hd,positif
Mantab,positif
Game nya banyak orang dongo ga bisa main,negatif
"lu tu niat kaga si anj bikin game?, bug Mulu bikin emosi udah akun ilang ngentodd",negatif
"Game plagiat sebelah A*V. Delete ML download AOV! GAME BURIK, PLAGIAT, TUNTUT AE LAGI TOLONG TUNTUT MONTON. RIOT DAN TENCENT",negatif
Bagus bagi2 skin sama mect nya cepet bangat poko nya Semangat ya ml BB,positif
Nice,positif
Baik,positif
Lumayan,positif
semoga lebih banyak event lagi,positif
Gooood,positif
Monton bangsat,negatif
Seru banget,positif
"seru, kalau bisa skin epic gratis lagi montoon",positif
Gratis an.,positif
"Gamenya udah bagus,tapi tolong mohon diperbaiki lagi , tentang jaringan",positif
"Game sampah nemu tim isinya orang dongo semua, cuihh bintang 1 buat game ini emang sampah ga becus yang dipikirin skin duit doang, matchmaking kagak jelas dongoo",negatif
Monton top up in aku 50 diamond🙏,positif
Nggak enak,negatif
"Update katanya login makin cepet ya... Iya sih, tapi draft pick makin rusak.. Ancur.. Padahal draft pick jauh lebih penting daripada loading.. Biarin lah loading mau 1 menit kek asal draft pick lancar.. Banyak kejadian player baru spawn di menit 3.. Gatau kenapa detik 15 lag parah dahtu yang laen udah welcome gw bru loading.. Ya ga di semua perangkat sih.. Mungkin ram 4 kebawah, tapi sebelum update hp gw lancar aja main ml.. Percuma loading makin cepet gameplay ancur.. Mending main AOV sama HOK.",negatif
"Woy muntun kalo kasih musuh yang ngotak, gw main classic aja ngak dibiarin tenang malah dikasih musuh mantan mythic 3 gw cuman 1 lebih bagusan hok",negatif
Fiturnya sangat bagus,positif
Seru banget gak nyesel aku main ini dari 2019 sampai sekarang lanjutin ya jangan sampai berhenti soalnya hiburan ku hanya di ml,positif
Game g jls,negatif
match making nya dari tim ga seimbang asuu,negatif
Maen game bukannya happy malah setres aneh banget Ama game ini,negatif
seru sih tapi berat di memo,positif
Diamond kurang,positif
Jangan dikasih Drak sistem plis!Bagus sekali 🥰🥰🥰,positif
Stak di logo depan,positif
Selalu dapat tim dark system tapi game nha udah bagus dan gacha nya kikir,positif
Mayan lh,positif
"Draf pick kek mana ton?? Bisa dapat bot dari tadi Awal sisen pula wkwkwk, Kalau Gini mana enak main, mending main game sebelah",negatif
game ramah,positif
Game ini adalah game yg sangat cocok untuk d main kan,positif
Lebih seru,positif
Game bego mending honor,positif
Gerrad,positif
game burikkkk game burikkkkk ga pantes nomor 1 di playstore si ni game capeee guaa main ini game haR4m Loseee trekkk muluuuu ajgg luuu moontonn ngasihhh tim ga ngotakkkk muluuj tololll ada yg begoooo ada yg ngelag moontonnn parahh anjg ngasih tim ga waras muluu gimana ga naik2 ni rank kalo ketemu player ke gitu kocakkk ni game mending hok lancar sinyal bagusss banget ini ml lag muluu padahal gua user wifi kocakkkk luu moontonn anjjg ngasihhh lose trek sampe ga ngotakkk taii#ML GAME BURIK,negatif
pliss montoon jauhkan saya dari dark sistem kalo bisa di hilangkan saja anjg emang,negatif
keren,positif
Ngasih team yang bener bulan sabit,positif
"Permainan yang sangat seruh,dan banyak animasi skin nya",positif
Top,positif
anjayy,positif
Terimakasih monton telah membuat game yang bagus ini terimakasih telah bagi skin gratis makasih banget 👋👋,positif
Op,positif
Keren,positif
Berarti,positif
Permainan top markotop,positif
Monton baik setiap hari aku dikasi coklat 😅,positif
Bagus,positif
Amun kalah mulu,positif
Tolong moonton sistem replay di perbagus saat saya mau ngecek replay ternyata tertimpun jadi tolong di perbanyak untuk menyimpan replay dan juga tolong buat kan sistem replay saat menonton bisa melakukan maju mundur kan waktu nya agar lebih mudah saat membuat video agar game ini rame kembali,negatif
ok,positif
badjingan dan naga,negatif
Seruuu,positif
"Monton anj a$u gua mau mytic kena drak sistem anj ,gua mau hapus ml dan main HOK",positif
"Gak bikin gabut, bagus tapi Kalah terus",positif
"Game ini sangat ramah dan aman buat hp kentang, eventnya juga menarik dan bikin saya ketagihan main Terimakasih Moonton",positif
Keren tapi kalo di epic ketemu tik tolol,positif
Bagusssssss banget!!!!!!!!!!! ☕,negatif
Oke,positif
Mantap,positif
Game tolol ga adil ngentod ngentod bikin gila aja game nya,negatif
Ngasi misi scam,negatif
Seru,positif
Monton ra adel bolo ku goblok kabah monton b4bi bangsat anJ,negatif
Game ini sangat seru,positif
"Moonton mohon perbaiki masalah pembagian tim ,masa tim bot musuh jago semua. Ga seimbang jadinya,Ama jaringan di kondisi kan saya pakai nonton tiktok lancar giliran main lag parah",negatif
bagus grafik nya,positif
"Mantap , uhuyyyy🤘😜🤘",positif
Bagus banget gamenya seru,positif
gem nya sangt meyenangkan👍👍👍👍🤫🧏,positif
Mantap sekali,positif
Dapet tim dark sistem mulu montoon,negatif
Muntun tolong lah jangan kasih tim yg ngetrol plis ya muntun kalo kaya gini terus mending pindah ke hok,positif
aku,positif
"Walaupun game ini sudah baik karena sering kasih skin gratis ampe skin kolektor tetapi disisi lain jaringannya tuh drop bgt ampe banting hp dan game ini udah gak ramah sama solo player, karena histori gua tuh jelek apalagi kalau di epic beeh langsung ada yg egois, ngambekan, fomo pusing dah selain itu lainnya ok² aja, jadi tolong jaringannya dioptimalkan dan dark systemnya ya mas montoon",negatif
Hapus aja game ini gak seru di bodoh² kan sama moonton yang kurang hajarl,negatif
"Game aoe sih ni udh bnnyk dari sistem pulak ,bot kontl rasis lagi,ireng siji ireng duo mending main pow",negatif
Sangat menyenangkan yah walaupun masih banyak dark system,positif
Jadikan game ini sebagai bintang😍🥰😘😘😘😚😚😙😍🤩🥳🥳🥳🥳🥳🥳🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩😹😹😹,positif
👍,positif
👍👍👍👍👍👍👌👌,positif
Lol aku dah ls hahaha tapi banyak skin gratis ga seimbang tim nya dari kemaren kalah Mulu Ampe 7 kali lama lama hapus gera,negatif
"bagus sih akhir² ini suka bagi² skin sama banyak event, gua harap bisa trus begini ml wk",positif
Bagusse,positif
game yang seru,positif
"Gamenya bagus udh gak kikir lagi, tapi sinyal naek turun naek turun mohon dikondisikan lagi karena sangat menggangu ketika farming atau sedang War..",positif
Nice app,positif
MOONTON APA2 DI PERSUSAH MAU GANTI AKUN AJA DI G BISA DI PERSUSAH BILANG EMAILNYA G BISA LAH DAN BLA BLA BLA JUGA LAWAN DIKASI YANG SUSAH LALU TEMANNYA DI KASI YANG NEW PLAYER-PLAYER JUGA KALAU MAU GANTI FOTO PROFIL DI PERSULIT SAAT INGIN GANTI SEPERTI DI GAGALKAN LALU ULANG DARI AWAL / SCREEN MOONTON AWAL. SEKARANG MOONTON PILIH KASI DI KASI MUSUH YANG SUSAH TRS TEMN YANG BEBAN GW G KUAT COYY MAU NAIK JD LEGEND TRS SISA 1 BINTANG LAGI JD TURUN KRNA PUBLIK BEBAN AKHIRNYA HARUS NAIKIN 2 BINTANG,positif
"Mantap si game ini ,tolong dong moonton harga heronya di kurangi",positif
Game nya jelek banyak drak sistem aku gak suka gamenya,negatif
wow,positif
Ini game bikin banyak jadi orang gila. Tolong di perbaiki dark sistem nya lah.,negatif
Moonton puki😁,positif
SUDAH SAYA HAPUS MOBILE LEGEND DI HP SAYA! TIDAK ADA YG MENDENGARKAN KELUH KESAH PLAYER!,negatif
Saya kasi bintang 2 duluh.aja,negatif
Keren,positif
Saya sudah main hampir setengah jam tapi masih kalah item full skor 32 banding 7 tim saya 32 dan masih kalah Tolong dark sistem nya dikurangi 🤫🧏,negatif
Masa sinyal penuh kadang keluar truzz Lg di rom aj ky gtuu sukaa kmbali2 lgi tolong donk di bneriin,positif
"Magic chess nya pindahin lah, biar seru biar ga kebanyakan dalam game mobile lagend ya",negatif
keren,positif
Mendapat kan tim yang bot,negatif
"Pengen deh game nya mulus gitu jalannya, tapi lag itu terlalu sering sampai sampai gak bisa di sentuh gamenya padahal pingnya 60 ke bawah tapi lagnya itu pengen uninstal aja ni game ngeselin",negatif
mantap,positif
Sistem match matching terlalu ampas,negatif
Seru sih seru tapi tolong perbaiki permainan nya soalnya lag karena lagi main terus lag jadinya mati tolong perbaiki biar renk yang main nambah,positif
terlalu memakan penyimpanan dan terlalu sering update,negatif
Game apa coba kalo gak ikhlas ngasi bintang jangan di kasila moonton percuma kau kasi 2 kali menang ujung² kau ambil lagi bintangnya kau ngambil bintangnya itu bukan 2 tapi 4 percuma main ujung kala terus bikin darah tinggi ni game main di kasih dark sistem Mulu Hade Game gak jelas gak cocok buat orang yang gampang marah² kalo kalian main ini terus marah ngomong² sendiri dikira gila. Kalian. Sama orang trus kalo kita marah² hp kita yang jadi korban,negatif
"Sistem match ga sesuai, makin tak sesuai",positif
Gw udah IMO 137 bang skin gw 763 ada yang mau Mabar gak ?,positif
🙏🏻🙏🏻🙏🏻🙏🏻,negatif
"Game ny mah udh bgus tpi minus nya ktemu dark sistem trs sama klo tim udh bagus bagus malah musuhnya yg, jgo tolong lah MONTON tol perbaiki jdi gw pindah game gra gra kg naik naik rank gw",negatif
🥷,positif
Banyak bug sekarang pas login kadang kadang macet .pas udah pertandingan di mulai malah diem di tempat,negatif
sangat bagus,positif
sayang monton,positif
setiap mau menang sinyal langsung lag sampai apk blank hitam sendiri setelah menulis laporan di kolom chat aneh. jaringan ko di atur atur apk pembodohan. jangan kasih rating tinggi kawan bodoh banget yg ngasih rating 5,negatif
"Saya harap tidak mengecewakan pemain, geme asyik tapi ram besar kali",positif
"Game nya bagus, ada dark sistem nya, dan asik",positif
Keren,positif
Good games,positif
Yang penting dapet tim waras aja,positif
Bagus bgt👍💯💯,positif
Game nya bagus buat ngilangin kejenuhan,positif
Ok,negatif
Game kalah Mulu ngasih tim gak ngotak,negatif
Keren,positif
oooo ayolah mikir kau tuh montoon woy gw kalah terus dapat tim bocah,negatif
Mantap,positif
Tolong kasih tim yg seimbang,negatif
Semakin jelek dan makin lag serta banyak hacker jg mls bgt,negatif
Gamenya bagus,positif
Bagus',positif
Lag anj,negatif
"knp klo maen tim gua pada tolol, sedangkan musuh jago² ajg",negatif
Sahid hasan,positif
plis kasih saya dm geratis 10000DM AJA JANGAN BANYAK BANYAK 🤧,positif
"Game harom,banyak drak sistem",negatif
Mending main ini Daripada game sebelah,positif
Keren bgt game nya,positif
Kelaz monton jangan kikir,positif
Sudah bagus semoga moonton makin maju🤩👍,positif
𝐏𝐞𝐫𝐦𝐚𝐢𝐧𝐚𝐧 𝐲𝐚𝐧𝐠 𝐬𝐚𝐧𝐠𝐚𝐭 𝐠𝐚𝐥𝐚𝐮 𝐬𝐞𝐥𝐚𝐥𝐮 𝐝𝐢 𝐤𝐚𝐥𝐚𝐡𝐤𝐚𝐧 𝐨𝐥𝐞𝐡 𝐬𝐞𝐬𝐭𝐞𝐦 𝐲𝐚𝐧𝐠 𝐦𝐞𝐧𝐲𝐞𝐛𝐚𝐛𝐤𝐚𝐧 𝐥𝐞𝐠 𝐩𝐚𝐝𝐚 𝐣𝐚𝐫𝐢𝐧𝐠𝐚𝐧. 𝐃𝐚𝐧 𝐬𝐞𝐬𝐭𝐞𝐦 𝐩𝐚𝐝𝐚 𝐜𝐨𝐧𝐭𝐫𝐨𝐥 𝐝𝐞𝐥𝐚𝐲,negatif
Seru game nya,positif
woi lu napa ngasih tim tlol udh main bener main ny tim malah troll trus,negatif
"Gamenya bagus, heronya yang paling ku suka adalah dyrot",positif
"Sistem matching lu benerin Monton orang saya main solo rank kenapa harus ketemu duo,trio yang ngetroling jadi lebih seimbang jika solo bertemu solo player",negatif
Makin ke sini makin banyak dark sistem,positif
Bikin tim kok gak seimbang apalah kau ini,negatif
Sangat bagus gemya tapi aku kesel kalo tidak ada sinyal,positif
Player nya toxic berisik kasar,negatif
Good,positif
Netral,negatif
Bagus,positif
Game ini adalah game yg sangat bagus karena membagikan banyak sekali skin epik,positif
"Buat monton, saya kasih 1 bintang karena setiap saya main di rank saya dapat terus yang sangat sulit, saya main 5 kali gak pernah menang begitu terus tiap saya main,.. monton tidak adil sama sekali makanya saya udah hapus apk mobile legends saya dan berpaling ke game lain",negatif
terbaik buat game MOBA,positif
Game nya rusak ngelag2 padahal jaringan Bagus. Kepada moonton tolong diperbaiki,negatif
keren,positif
Nice,positif
seru sii keren game nya,positif
Game nyaman,positif
mantap,positif
Jngn di band ml ya,positif
"moonton GK jelas kasih tim dark sistem,musuh GG semua",negatif
moonton ajg kntl serius lah kalok ngasi tim,negatif
Game nya agak mantep sih sekarang rank ku hampir epic,positif
"Game nya banyak player tolol yg bertebaran di rank apapun, tolong la gosah kasih skin gratis perbaiki tu matcmaking yg sesuai yg seimbang tolol kali babi monton",negatif
Kata yang bisa di dengar : INI BENCANAAA,positif
kerenn,positif
"Dasar game kikir, gausah sok""an ngasih banyak event skin gratis, benerin dulu tuh system machmaking nya 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",negatif
Cukup menghibur,positif
Terima kasih,positif
sangat baguss,positif
Game keren,positif
Saya menyukai,positif
Mantap banget,positif
More free epic skrng pls,positif
Aplikasi jelek,negatif
Please monton kasi aku tim mitic aja sekali dapat tim tolol semua cok😭😭😭😭😭,negatif
game nya bagus grafiknya Oke pokonya mobile legends topp dehh,positif
Semoga bisa ke mitchic ya papi monton Dan semoga ngga ngestak di epic amin,positif
Mobile legends tolong dong knpa sih saya dapat tim nob sedang Kan musuh saya GG banggat sampai savage klo GK di tanggapi akun ku minta permohonan mending main game (HONOR OF KING) AJA,negatif
Game ini sangat bagus,positif
Pliszz Seru Bngett💓💐 Ayoo Dowlod Mobile Legends Bang bang Nanti Ketagihann Buruann Dowlodd!!😸💪,positif
very bad game,negatif
Bagus,positif
Oke,positif
Boleh,positif
Game gak seru guwe mau honor aja kalah kalah mulu apalagi di rank epic abadi orangya suka ngetroll saber roam dll gua gak recomended ni game mending main hok hero nya lebih bagus dan grafik nya meskipun rendah tapi tetap bagus apalah ml orangya kadang suka toxic,negatif
mantap,positif
Game bagus sekali gaes,positif
Game yang sangat seru,positif
Oke,positif
Bagus sekali nggak ngele buruan download sekarang,positif
G A M E BABI,positif
Mantapppppp,positif
Bagus Banget Lohhhh Kalian Dowload Gihhhh GC!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,positif
Terimakasih yang moonton sudah baik ke pada kami,positif
Saya Raja Carry,positif
seru aku suka game ml,positif
Monton tolong lah gua udah lostrek sampe 22 kali untuk gemeya seru tapi setiap gua ghaca bolong semua dapet nya dah lah tolong bantu saya,positif
mikirlah tim dongo jan dikasi ke gue su,negatif
Seruu banget enga bikin bosen,positif
grafik game nya sangat bagussss,positif
Saya banyak dpt teman trimakasih mooton btw cepat rilis skin angela tuu,positif
kerena ml saya hilang dan ml tidak bisa di logikan tolong monton,negatif
Aku senang dengan permainan ini,positif
Pengin skin epik Uranus,positif
nyebelin di satuin sama tim ga bisa main:((,negatif
mantap,positif
Ini bagus sih tapi kalau diam terus AFK gak asik AFK tapi ini saya kasih bintang 4 Makasih assalamualaikum warahmatullahi wabarokatu 🙏🙏🙏🙏🙏🙏🙏,positif
Menghibur,positif
Gas,positif
Keren,positif
Saya sangat menyukai ml dan moontoon,positif
"Matchmakingnya gak jelas timnya beban musuhnya jago dari sistem dark sistem, ngasih skin gratis boleh tapi perbaikinlah masalah ini jaringan ngelag, matchmaking tidak seimbang, dan hero banyak yang dibuff terlalu op giliran dinerf terlalu lemah Aneh",negatif
seruu bangettt,positif
Lov u ml,positif
Bagus,positif
gaa nyesal sihh download game ini seruu bgtt☺️,positif
gokil sg bnk gr,positif
"Tak sesuai team sekarang mah, moonton selalu memberikan team nub trus, payahh.",negatif
Tolong ilang kan drak sistem,positif
"Baguss sekali game ini, untuk melatih mental😆😆",positif
Wew,positif
"Untuk player solo,,,segerah hapus saja game ini,,,karena sudah disetting untuk setiap tim & pertandingan nya,,,pembodohan masyarakat yg sangat nyata...mirip judi.",negatif
Bagus banget,positif
lumayan,negatif
kurangin dark sistem,positif
Saya suka dengan game ini tetapi saya selalu mendapatkan chat yg tidak pantas,positif
Ok,positif
Kerenn,positif
Game ini bagus grafiknya hd cuman kalo ngegacha susah dapetinnya udah itu doang oh iya sama tim nya dari sis,positif
Lu kalo ngasih tim jangan dark system ajng dan juga biasa hp ngak Ngelag jaringan ngak Ngelag lah kok ngelag sendiri sama klo lagi rank kita dikasih tim yang yang dark system yang kek bot baru tim lawan rank nya mythic semua lu koreksi lah permainan lu blacklist aja player dark system,negatif
Woy drak.sistem dqsar punya game gak di urus,negatif
Suka bet sih ama game ini dari dulu,positif
"Game apa cobaa main ga pernah di kasih menanggg KOCAKKK player nyaa ngefeed semuaa, udah mending pindah game ajaaa",negatif
Nice,positif
"Game nya bagus ,dan saya suka game ini, itu saja yang saya mau berikan dan saya kasih bintang 5",positif
Bagus,positif
rekomendasi game seru,positif
Opsional,positif
game tolol waktu ngak war kaga ngelag sinyal nya giliran war malah ngelag tolol kalo sinyal jelek dari awal biar afk bisa perlindungan teman afk tolol,positif
Good dah,positif
Biar bintang yang menjawabb👍👍,positif
Game apalah masa retri kalah di katain yatim,negatif
Nice,positif
Monton baik😄,positif
GAME TAI ANJG,positif
Tolong perbaikan jaringan,positif
Aku cinta ml,positif
"ssaya kasih bintang 1 karna game NY sangat membodohkan,gk pernah di kasih Tim yg bagus",negatif
